23aj1a4252,2026-01-05,00:28:26,PRESENT
23aj1a4222,2026-01-05,09:59:03,PRESENT
23aj1a4247,2026-01-05,09:59:04,PRESENT
23aj1a4223,2026-01-05,09:59:07,PRESENT
23aj1a4260,2026-01-05,09:59:19,PRESENT
23aj1a4235,2026-01-05,09:59:27,PRESENT
23aj1a4247,2026-01-05,10:06:59,PRESENT
23aj1a4235,2026-01-05,10:09:48,PRESENT
23aj1a4222,2026-01-05,10:11:52,PRESENT
23aj1a4235,2026-01-05,10:11:52,PRESENT
23aj1a4205,2026-01-05,10:14:26,PRESENT
23aj1a4235,2026-01-05,10:14:46,PRESENT
23aj1a4222,2026-01-05,10:14:48,PRESENT
23aj1a4217,2026-01-05,10:17:25,PRESENT
23aj1a4252,2026-01-05,10:17:30,PRESENT
23aj1a4222,2026-01-05,10:17:30,PRESENT
23aj1a4205,2026-01-05,10:17:47,PRESENT
23aj1a4247,2026-01-05,10:18:42,PRESENT
23aj1a4222,2026-01-05,10:18:42,PRESENT
23aj1a4235,2026-01-05,10:18:45,PRESENT
23aj1a4252,2026-01-05,10:18:46,PRESENT
23aj1a4205,2026-01-05,10:18:53,PRESENT
23aj1a4252,2026-01-05,10:19:49,PRESENT
23aj1a4260,2026-01-05,10:20:50,PRESENT
23aj1a4252,2026-01-05,10:20:50,PRESENT
23aj1a4205,2026-01-05,10:21:57,PRESENT
23aj1a4260,2026-01-05,10:21:57,PRESENT
23aj1a4252,2026-01-05,10:21:59,PRESENT
23aj1a4222,2026-01-05,10:22:26,PRESENT
23aj1a4247,2026-01-05,10:22:26,PRESENT
23aj1a4235,2026-01-05,10:22:29,PRESENT
23aj1a4222,2026-01-10,19:23:33,PRESENT
23aj1a4252,2026-01-10,19:23:33,PRESENT
23aj1a4235,2026-01-10,19:23:45,PRESENT
23aj1a4252,2026-01-10,19:27:53,PRESENT
23aj1a4222,2026-01-10,19:27:55,PRESENT
23aj1a4252,2026-01-10,19:34:54,PRESENT
23aj1a4222,2026-01-10,19:35:10,PRESENT
23aj1a4235,2026-01-10,19:53:37,PRESENT
23aj1a4222,2026-01-10,19:53:38,PRESENT
23aj1a4252,2026-01-10,19:53:39,PRESENT
23aj1a4252,2026-01-10,19:59:47,PRESENT
23aj1a4252,2026-01-10,20:01:34,PRESENT
23aj1a4252,2026-01-10,20:08:14,PRESENT
23aj1a4252,2026-01-10,20:18:11,PRESENT
23aj1a4205,2026-01-24,10:05:41,PRESENT
23aj1a4252,2026-01-24,10:05:42,PRESENT
23aj1a4217,2026-01-24,10:05:51,PRESENT
23aj1a4222,2026-01-24,10:06:04,PRESENT
23aj1a4260,2026-01-24,10:06:04,PRESENT
23aj1a4205,2026-01-24,10:06:04,PRESENT
23aj1a4252,2026-01-24,10:06:10,PRESENT
23aj1a4217,2026-01-24,10:06:39,PRESENT
23aj1a4235,2026-01-24,10:07:18,PRESENT
